Author  :	 Dominic Giles
Version :	 2.5.0.971

Results will be written to results.xml.

Time		Users	TPM	TPS
15:37:40	[50/50]	43539	739
15:37:41	[50/50]	43595	752
15:37:42	[50/50]	43604	744
15:37:43	[50/50]	43594	722
15:37:44	[50/50]	43657	753
15:37:45	[50/50]	43647	711
15:37:46	[50/50]	43659	737
15:37:47	[50/50]	43624	742
15:37:48	[50/50]	43507	654
15:37:49	[50/50]	43526	751
15:37:50	[50/50]	43542	745
15:37:51	[50/50]	43534	738
15:37:52	[50/50]	43517	718
15:37:53	[50/50]	43551	741
15:37:54	[50/50]	43567	742
15:37:55	[50/50]	43569	751
15:37:56	[50/50]	43585	744
15:37:57	[50/50]	43574	692
15:37:58	[50/50]	43570	714
15:37:59	[50/50]	43593	745
15:38:00	[0/50]	42976	104

Completed Run.
